"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2471","TC_002 Valid user should login @smoke","firefox","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","1","TC_017 Example of Skipped test","webkit","2026-06-19","skipped","2026-06-19","","login.spec.ts","",""
"","4030","TC_016 Complete order successfully @regression @checkout","firefox","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","3112","TC_009 Cart should show selected products @cart","chromium","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","2779","TC_016 Complete order successfully @regression @checkout","chromium","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","3536","TC_013 Checkout with missing last name @negative @checkout","webkit","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2905","TC_006 Add one product to cart @cart","chromium","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","1802","TC_005 Product list should be visible after after login @smoke","chromium","2026-06-19","passed","2026-06-19","","products.spec.ts","",""
"","3488","TC_013 Checkout with missing last name @negative @checkout","firefox","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2819","TC_007 Remove product from cart @cart","webkit","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","3484","TC_014 Checkout with all fields empty @negative @checkout","webkit","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2801","TC_014 Checkout with all fields empty @negative @checkout","chromium","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2970","TC_007 Remove product from cart @cart","chromium","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","2628","TC_008 Add multiple products to cart @cart @regression","webkit","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","2402","TC_001 Login page should load @smoke","chromium","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","3164","TC_010 Checkout with valid details @checkout","webkit","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","3544","TC_009 Cart should show selected products @cart","webkit","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","2736","TC_013 Checkout with missing last name @negative @checkout","chromium","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2914","TC_005 Product list should be visible after after login @smoke","firefox","2026-06-19","passed","2026-06-19","","products.spec.ts","",""
"","1407","TC_003 Invalid password should show error @negative","chromium","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","1895","TC_015 Product details page should open when product name is clicked @regression","chromium","2026-06-19","passed","2026-06-19","","products.spec.ts","",""
"","2219","TC_003 Invalid password should show error @negative","webkit","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","3893","TC_006 Add one product to cart @cart","firefox","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","3319","TC_010 Checkout with valid details @checkout","chromium","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","2326","TC_003 Invalid password should show error @negative","firefox","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","2662","TC_004 Locked user should not login @negative","firefox","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","3726","TC_006 Add one product to cart @cart","webkit","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","2001","TC_004 Locked user should not login @negative","chromium","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","3293","TC_011 Checkout with missing first name @negative @checkout","chromium","2026-06-19","passed","2026-06-19","","checkout.spec.ts","",""
"","4231","TC_007 Remove product from cart @cart","firefox","2026-06-19","passed","2026-06-19","","cart.spec.ts","",""
"","2668","TC_002 Valid user should login @smoke","chromium","2026-06-19","passed","2026-06-19","","login.spec.ts","",""
"","2454","TC_005 Product list should be visible after after login @smoke","webkit","2026-06-19","passed","2026-06-19","","products.spec.ts","",""
